Image number,Dengue fever risk,Probability,Date/Time,Latitude,Longitude
0078,Low risk,0.85546875,2023-04-24 01:20:27.565119,40.986972973531905,141.70958235901605
0079,High risk,0.65625,2023-04-24 01:20:37.968995,40.599334279768584,142.39084474304866
0080,Low risk,0.69921875,2023-04-24 01:20:48.046779,40.219522460589474,143.04281472647557
0081,Low risk,0.91796875,2023-04-24 01:20:57.909940,39.843795188435074,143.67340935769036
0082,Low risk,0.921875,2023-04-24 01:21:07.637465,39.469441573229616,144.28818359709717
0083,Low risk,0.8046875,2023-04-24 01:21:17.540774,39.08454905615114,144.9068712533991
0084,High risk,0.99609375,2023-04-24 01:21:27.732026,38.684579219415674,145.53608990907955
0085,High risk,0.99609375,2023-04-24 01:21:38.299121,38.265810049567484,146.18063410789233
0086,High risk,0.99609375,2023-04-24 01:21:48.449743,37.85973350249221,146.7923866815409
0087,High risk,0.99609375,2023-04-24 01:21:58.936259,37.43641919160508,147.41687244244187
0088,High risk,0.99609375,2023-04-24 01:22:08.933319,37.02935948452108,148.00522208679016
0089,High risk,0.99609375,2023-04-24 01:22:19.261246,36.60532024487821,148.6060160079176
0090,High risk,0.98046875,2023-04-24 01:22:29.001486,36.202228159471595,149.16618900674257
0091,High risk,0.61328125,2023-04-24 01:22:39.019137,35.78451206337326,149.7359206045705
0092,No risk,0.640625,2023-04-24 01:22:49.351394,35.350421669740946,150.31687440651362
0093,No risk,0.99609375,2023-04-24 01:22:59.324528,34.92835118600387,150.87134663777053
0094,No risk,0.98046875,2023-04-24 01:23:09.337396,34.50167775473558,151.42188802737613
0095,No risk,0.87109375,2023-04-24 01:23:19.340395,34.07252932109113,151.9659215527696
0096,No risk,0.61328125,2023-04-24 01:23:29.371255,33.63939563596952,152.50554573224372
0097,Low risk,0.5,2023-04-24 01:23:39.359430,33.2053763499885,153.03712503144175
0098,High risk,0.99609375,2023-04-24 01:23:49.362365,32.768065412954215,153.56384540197257
0099,Low risk,0.66015625,2023-04-24 01:24:09.368604,31.885723759288435,154.6008399497555
0100,No risk,0.63671875,2023-04-24 01:24:19.165809,31.450016679170506,155.10087475848073
0101,High risk,0.95703125,2023-04-24 01:24:29.127118,31.004664555879277,155.60417277099148
0102,High risk,0.99609375,2023-04-24 01:24:38.954375,30.5630409615038,156.09576014444943
0103,High risk,0.99609375,2023-04-24 01:24:49.242996,30.098330000094602,156.6052942383154
0104,High risk,0.9296875,2023-04-24 01:24:59.205459,29.646127592915853,157.09377130388305
0105,High risk,0.98828125,2023-04-24 01:25:09.124416,29.19377883381758,157.57543562740568
0106,High risk,0.99609375,2023-04-24 01:25:18.757981,28.752471645248782,158.03887172203525
0107,High risk,0.99609375,2023-04-24 01:25:29.014329,28.28055691704118,158.52764053519627
0108,High risk,0.96875,2023-04-24 01:25:38.646334,27.835474763587907,158.98240487068944
0109,High risk,0.99609375,2023-04-24 01:25:49.411693,27.335894494372035,159.48593886800398
0110,No risk,0.5703125,2023-04-24 01:25:59.448921,26.868160682580346,159.95099303915055
0111,High risk,0.83984375,2023-04-24 01:26:09.446162,26.400438491631014,160.41009668370003
0112,High risk,0.5703125,2023-04-24 01:26:19.440148,25.931107126870458,160.8650285350547
0113,High risk,0.9921875,2023-04-24 01:26:29.314740,25.46569478850159,161.31067879334697
0114,High risk,0.98046875,2023-04-24 01:26:39.485955,24.984592167384854,161.7658231074715
0115,High risk,0.9296875,2023-04-24 01:26:49.452111,24.51154955349321,162.20806031828621
0116,High risk,0.95703125,2023-04-24 01:26:59.338869,24.040737395702344,162.64320090188028
0117,High risk,0.9765625,2023-04-24 01:27:09.323369,23.563720722342197,163.07916117306914
0118,No risk,0.65234375,2023-04-24 01:27:19.486678,23.076648960994454,163.51939226667633
0119,High risk,0.921875,2023-04-24 01:27:29.169484,22.611208496792695,163.9355962936013
0120,High risk,0.98046875,2023-04-24 01:27:39.541508,22.111187073629907,164.37802801785008
0121,High risk,0.9375,2023-04-24 01:27:49.519343,21.628759860980665,164.800450827464
0122,High risk,0.99609375,2023-04-24 01:27:59.504671,21.14465270935274,165.2201226594768
0123,High risk,0.99609375,2023-04-24 01:28:09.104672,20.678034760488423,165.6207754046086
0124,High risk,0.99609375,2023-04-24 01:28:19.307300,20.18086567998286,166.0436464609501
0125,High risk,0.99609375,2023-04-24 01:28:29.209722,19.697134111047436,166.4512597103733
0126,High risk,0.99609375,2023-04-24 01:28:39.122240,19.21174370323498,166.85661738600214
0127,High risk,0.99609375,2023-04-24 01:28:49.026587,18.725664283944027,167.25901992693332
0128,High risk,0.87109375,2023-04-24 01:28:59.023671,18.233925166725705,167.6626485867461
0129,High risk,0.99609375,2023-04-24 01:29:09.523911,17.71630606658782,168.08390718098042
0130,High risk,0.99609375,2023-04-24 01:29:19.598363,17.218632901331414,168.4855768028188
0131,High risk,0.99609375,2023-04-24 01:29:29.582503,16.72442126055722,168.88132653472712
0132,High risk,0.99609375,2023-04-24 01:29:38.963367,16.259215937254417,169.25111342045014
0133,High risk,0.99609375,2023-04-24 01:29:49.251144,15.74811467662866,169.65444580279907
0134,High risk,0.99609375,2023-04-24 01:29:59.385153,15.243718568709525,170.04959449696995
0135,High risk,0.99609375,2023-04-24 01:30:09.497962,14.739523870936754,170.44183499130818
0136,High risk,0.99609375,2023-04-24 01:30:19.977409,14.216158614277154,170.84620628301482
0137,High risk,0.99609375,2023-04-24 01:30:29.569763,13.73635242218134,171.21453921961123
0138,High risk,0.99609375,2023-04-24 01:30:39.238479,13.252031303577965,171.58412699553224
0139,High risk,0.99609375,2023-04-24 01:30:49.299217,12.747346325441434,171.96699471006903
0140,High risk,0.99609375,2023-04-24 01:30:58.992234,12.260443264612293,172.3342852417623
0141,High risk,0.99609375,2023-04-24 01:31:09.002071,11.75698012530455,172.71201285599292
0142,High risk,0.99609375,2023-04-24 01:31:19.049307,11.251003355898098,173.08962260268223
0143,High risk,0.99609375,2023-04-24 01:31:28.943238,10.752146185851513,173.4600504609425
0144,High risk,0.99609375,2023-04-24 01:31:38.560383,10.266710845897231,173.81882126081376
0145,High risk,0.9921875,2023-04-24 01:31:48.480166,9.765466522362848,174.18761764155008
0146,High risk,0.99609375,2023-04-24 01:31:59.073638,9.229629640956505,174.58010602802187
0147,High risk,0.99609375,2023-04-24 01:32:09.474999,8.70298815547713,174.96419209932708
0148,High risk,0.99609375,2023-04-24 01:32:19.566970,8.191534190660303,175.33571874514044
0149,High risk,0.98046875,2023-04-24 01:32:29.339163,7.695881220986974,175.69446204244213
